,Date,bitcoin,ethereum,tether,ripple,binancecoin,solana,usd-coin,dogecoin,cardano,staked-ether,tron,wrapped-bitcoin,hedera-hashgraph,stellar,chainlink,wrapped-steth,litecoin,avalanche-2,leo-token,sui,the-open-network,shiba-inu,usds,mantra-dao,polkadot,hyperliquid,weth,bitcoin-cash,ethena-usde,bitget-token,wrapped-eeth,uniswap,monero,near,whitebit,aptos,dai,ondo-finance,pepe,internet-computer,susds,aave,ethereum-classic,bittensor,okb,gatechain-token,official-trump,mantle,coinbase-wrapped-btc,polygon-ecosystem-token,vechain,sonic-3,celestia,algorand,tokenize-xchange,filecoin,kaspa,first-digital-usd,crypto-com-chain,jupiter-exchange-solana,cosmos,render-token,arbitrum,lombard-staked-btc,fasttoken,optimism,fetch-ai,kucoin-shares,maker,story-2,binance-peg-weth,quant-network,injective-protocol,solv-btc,kelp-dao-restaked-eth,xdce-crowd-sale,ethena,immutable-x,blockstack,worldcoin-wld,theta-token,sei-network,nexo,the-graph,lido-dao,rocket-pool-eth,usual-usd,movement,bonk,dexe,binance-staked-sol,flare-networks,mantle-staked-ether,berachain-bera,solv-protocol-solvbtc-bbn,jasmycoin,eos,gala,telcoin,tezos
0,2015-03-06,74704492.0402275,,50.0,986763.0,,,,43612.42919647078,,,,,,14670.34569296614,,,2141717.49453352,,,,,,,,,,,,,,,,76615.93695534782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,2015-03-07,50059694.67622344,,58196.0,1136159.9999999998,,,,30458.76556722998,,,,,,5866.253998191651,,,1613022.6506972322,,,,,,,,,,,,,,,,24403.65166363848,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2015-03-08,45050575.22814669,,31.0,1370390.0,,,,50154.05443160497,,,,,,6875.896363229594,,,1654613.7972086198,,,,,,,,,,,,,,,,40440.93832595852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,2015-03-09,111062141.12648012,,137.0,2114810.0,,,,47940.80883648983,,,,,,13715.04676391282,,,3447327.0361888204,,,,,,,,,,,,,,,,118683.1232580059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2015-03-10,129285347.54407711,,50006.0,1657920.0000000002,,,,89275.46927750834,,,,,,11916.851884688043,,,12270475.95562973,,,,,,,,,,,,,,,,200926.06637327644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,2015-03-11,73794326.12201199,,46.0,1233900.0,,,,99079.843402805,,,,,,13313.420578687024,,,3928090.321694208,,,,,,,,,,,,,,,,94309.08980828506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,2015-03-12,65277495.588918425,,80421.0,682560.0000000001,,,,72057.49639750378,,,,,,12292.77490696401,,,6679854.348198577,,,,,,,,,,,,,,,,66492.48252304328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,2015-03-13,67739327.34903467,,75.0,696782.0,,,,86207.17636587535,,,,,,6908.494136790409,,,3361635.672883166,,,,,,,,,,,,,,,,59277.87421693328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2015-03-14,63244191.82668233,,17706.0,795320.0000000001,,,,98339.39157479734,,,,,,9661.309810417755,,,2463776.7049925947,,,,,,,,,,,,,,,,86732.43501632748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2015-03-15,32203956.61897762,,15124.0,409911.9999999998,,,,63421.23347682196,,,,,,3236.6559820091315,,,2430171.7056570062,,,,,,,,,,,,,,,,67660.43677015895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
